snapshot_at,currency,day_label,instrument_name,expiry_str,option_type,strike,index_price,depth,mark_iv,delta,gamma,vega,theta,rho,mark_price,underlying_price,settlement_price,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-66500-C,4JUN26,C,66500.0,66451.09,1,46.51,0.4862,0.0003,11.4792,-266.95213,0.59712,0.0075,66440.15,0.01676887,0.007,70.0,0.008,38.8
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-66500-P,4JUN26,P,66500.0,66451.09,1,46.51,-0.5138,0.0003,11.4792,-266.95213,-0.65165,0.0086,66440.15,0.00737406,0.008,74.1,0.009,26.9
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-66000-C,4JUN26,C,66000.0,66451.09,1,50.06,0.62448,0.00026,10.92228,-273.36251,0.76374,0.0122,66440.15,0.02217648,0.0115,20.0,0.0125,16.0
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-66000-P,4JUN26,P,66000.0,66451.09,1,50.05,-0.37551,0.00026,10.92222,-273.34533,-0.47564,0.0058,66440.15,0.00533351,0.005,166.9,0.006,6.1
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-67000-C,4JUN26,C,67000.0,66451.09,1,44.05,0.33358,0.00029,10.47157,-230.63105,0.411,0.0041,66440.15,0.01190221,0.0038,24.2,0.0043,8.0
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-67000-P,4JUN26,P,67000.0,66451.09,1,44.05,-0.66642,0.00029,10.47161,-230.63554,-0.84716,0.0128,66440.15,0.00995555,0.012,28.0,0.0135,20.0
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-65500-C,4JUN26,C,65500.0,66451.09,1,53.17,0.738,0.00021,9.37733,-249.29889,0.89844,0.0178,66451.09,0.02816766,0.0165,9.2,0.019,9.4
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-65500-P,4JUN26,P,65500.0,66451.09,1,53.17,-0.262,0.00021,9.37736,-248.83982,-0.33156,0.0037,66451.09,0.00387654,0.0035,8.4,0.0041,26.8
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-67500-C,4JUN26,C,67500.0,66451.09,1,42.48,0.20003,0.00023,8.06256,-133.21789,0.24707,0.002,66451.09,0.00811019,0.0018,5.0,0.0022,11.5
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-67500-P,4JUN26,P,67500.0,66451.09,1,42.48,-0.79997,0.00023,8.06258,-171.26232,-1.02048,0.0181,66451.09,0.0136117,0.0165,9.4,0.0195,1.4
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-65000-C,4JUN26,C,65000.0,66451.09,1,56.7,0.81882,0.00016,7.58703,-215.09021,0.99147,0.0242,66451.09,0.034614,0.022,1.4,0.0255,1.4
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-65000-P,4JUN26,P,65000.0,66451.09,1,56.7,-0.18118,0.00016,7.58703,-164.64342,-0.22914,0.0025,66451.09,0.00287471,0.0022,62.6,0.0027,6.0
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-68000-C,4JUN26,C,68000.0,66451.09,1,42.48,0.10705,0.00015,5.30975,-61.21892,0.13241,0.0009,66451.09,0.00516135,0.0007,21.7,0.001,31.3
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-68000-P,4JUN26,P,68000.0,66451.09,1,42.48,-0.89295,0.00015,5.30978,-112.78922,-1.14453,0.0246,66451.09,0.01811101,0.0225,5.2,0.0255,2.0
2026-06-03T15:32:41.166125+00:00,BTC,today,BTC-4JUN26-68500-C,4JUN26,C,68500.0,66451.09,1,42.75,0.05156,9e-05,3.04351,-25.35591,0.06384,0.0004,66451.09,0.00303801,0.0003,13.9,0.0005,37.7
