snapshot_at,currency,day_label,instrument_name,expiry_str,option_type,strike,index_price,depth,mark_iv,delta,gamma,vega,theta,rho,mark_price,underlying_price,settlement_price,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-66500-C,5JUN26,C,66500.0,66451.09,1,47.64,0.4921,0.00019,18.00312,-254.46384,1.47146,0.0123,66422.56,0.0202139,0.012,1.2,0.013,95.4
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-66500-P,5JUN26,P,66500.0,66451.09,1,47.64,-0.5079,0.00019,18.00312,-254.46384,-1.59924,0.0135,66422.56,0.01118415,0.013,23.6,0.014,15.8
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-66000-C,5JUN26,C,66000.0,66451.09,1,49.5,0.58182,0.00017,17.6266,-258.844,1.73299,0.0168,66422.56,0.02537387,0.016,51.7,0.0175,63.8
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-66000-P,5JUN26,P,66000.0,66451.09,1,49.5,-0.41818,0.00017,17.6266,-258.844,-1.31461,0.0104,66422.56,0.00889322,0.01,40.8,0.011,121.6
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-67000-C,5JUN26,C,67000.0,66451.09,1,46.08,0.39623,0.00019,17.39271,-237.7377,1.18867,0.0087,66417.74,0.01564512,0.008,109.3,0.009,37.1
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-67000-P,5JUN26,P,67000.0,66451.09,1,46.08,-0.60377,0.00019,17.39271,-237.7377,-1.90511,0.0174,66417.74,0.01406628,0.0165,40.1,0.018,21.8
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-65500-C,5JUN26,C,65500.0,66451.09,1,51.61,0.66065,0.00016,16.52489,-253.03074,1.95904,0.0219,66417.74,0.03089171,0.021,37.7,0.0225,18.7
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-65500-P,5JUN26,P,65500.0,66451.09,1,51.61,-0.33935,0.00016,16.52489,-253.03074,-1.06547,0.008,66417.74,0.00696015,0.0075,91.0,0.0085,101.4
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-67500-C,5JUN26,C,67500.0,66451.09,1,44.78,0.30296,0.00017,15.76177,-209.4095,0.91142,0.0058,66417.74,0.01171151,0.005,147.1,0.006,7.7
2026-06-03T15:32:41.166125+00:00,BTC,tomorrow,BTC-5JUN26-67500-P,5JUN26,P,67500.0,66451.09,1,44.78,-0.69704,0.00017,15.76177,-209.4095,-2.20545,0.022,66417.74,0.01758357,0.0215,20.0,0.0225,20.0
