snapshot_at,currency,day_label,instrument_name,expiry_str,option_type,strike,index_price,depth,mark_iv,delta,gamma,vega,theta,rho,mark_price,underlying_price,settlement_price,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1850-C,4JUN26,C,1850.0,1847.78,1,58.71,0.48625,0.00848,0.31925,-9.37234,0.01654,0.0096,1847.78,0.021831,0.009,400.0,0.01,1181.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1850-P,4JUN26,P,1850.0,1847.78,1,58.71,-0.51417,0.00848,0.31923,-9.3717,-0.01821,0.0108,1847.73,0.007897,0.0105,400.0,0.011,100.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1825-C,4JUN26,C,1825.0,1847.78,1,64.53,0.67604,0.00696,0.2878,-9.28551,0.02282,0.0183,1847.73,0.032323,0.0175,400.0,0.0185,400.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1825-P,4JUN26,P,1825.0,1847.78,1,64.53,-0.32396,0.00696,0.2878,-9.28551,-0.01145,0.006,1847.73,0.005062,0.0055,475.0,0.0065,2000.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1875-C,4JUN26,C,1875.0,1847.78,1,55.51,0.27561,0.00752,0.26747,-7.42317,0.00942,0.004,1847.78,0.013286,0.0038,18.0,0.0042,111.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1875-P,4JUN26,P,1875.0,1847.78,1,55.51,-0.72477,0.00751,0.26728,-7.41795,-0.0258,0.0188,1847.73,0.012675,0.016,66.0,0.02,30.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1800-C,4JUN26,C,1800.0,1847.78,1,71.58,0.80491,0.00481,0.22082,-7.90283,0.02691,0.0292,1847.73,0.043842,0.0019,30.0,0.0365,178.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1800-P,4JUN26,P,1800.0,1847.78,1,71.58,-0.19509,0.00481,0.22082,-6.28907,-0.00689,0.0034,1847.73,0.003258,0.0032,58.0,0.0036,575.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1900-C,4JUN26,C,1900.0,1847.78,1,56.71,0.13076,0.00468,0.17007,-2.94724,0.00448,0.0016,1847.73,0.007366,0.0014,452.0,0.0018,756.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1900-P,4JUN26,P,1900.0,1847.78,1,56.71,-0.86924,0.00468,0.17007,-4.8226,-0.0312,0.0299,1847.73,0.020081,0.0275,752.0,0.0325,753.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1775-C,4JUN26,C,1775.0,1847.78,1,79.54,0.88145,0.00311,0.15881,-6.31602,0.02915,0.0414,1847.73,0.056168,0.033,30.0,0.049,48.0
2026-06-03T15:32:46.916308+00:00,ETH,today,ETH-4JUN26-1775-P,4JUN26,P,1775.0,1847.78,1,79.54,-0.11855,0.00311,0.15881,-3.75997,-0.00418,0.002,1847.73,0.002257,0.0018,547.0,0.0022,436.0
