snapshot_at,currency,day_label,instrument_name,expiry_str,option_type,strike,index_price,depth,mark_iv,delta,gamma,vega,theta,rho,mark_price,underlying_price,settlement_price,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1850-C,5JUN26,C,1850.0,1847.78,1,57.22,0.49333,0.00555,0.50075,-8.50038,0.04082,0.0149,1847.4,0.02607,0.014,1629.0,0.015,108.0
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1850-P,5JUN26,P,1850.0,1847.78,1,57.22,-0.50667,0.00555,0.50075,-8.50038,-0.04461,0.0162,1847.4,0.012042,0.0155,1262.0,0.017,1188.0
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1825-C,5JUN26,C,1825.0,1847.78,1,60.37,0.62577,0.005,0.47577,-8.52051,0.05142,0.0231,1847.61,0.035751,0.022,1081.0,0.0235,400.0
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1825-P,5JUN26,P,1825.0,1847.78,1,60.37,-0.37528,0.005,0.47614,-8.52708,-0.03294,0.0109,1847.4,0.0084,0.0105,839.0,0.0115,1784.0
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1875-C,5JUN26,C,1875.0,1847.78,1,55.68,0.35456,0.00532,0.46715,-7.71601,0.02949,0.0089,1847.4,0.017978,0.0085,508.0,0.009,113.0
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1875-P,5JUN26,P,1875.0,1847.78,1,55.68,-0.64544,0.00532,0.46715,-7.71613,-0.05709,0.0237,1847.4,0.017275,0.0235,400.0,0.0245,536.0
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1800-C,5JUN26,C,1800.0,1847.78,1,64.42,0.73095,0.00408,0.41435,-7.91841,0.05954,0.0331,1847.4,0.046628,0.0036,130.0,0.0485,148.0
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1800-P,5JUN26,P,1800.0,1847.78,1,64.42,-0.26909,0.00408,0.41438,-7.91892,-0.02358,0.0073,1847.39,0.005953,0.007,1139.0,0.0075,121.0
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1900-C,5JUN26,C,1900.0,1847.78,1,55.61,0.23386,0.00439,0.38471,-6.34663,0.01952,0.0051,1847.25,0.011774,0.0047,56.0,0.0055,3083.0
2026-06-03T15:32:46.916308+00:00,ETH,tomorrow,ETH-5JUN26-1900-P,5JUN26,P,1900.0,1847.78,1,55.61,-0.76614,0.00439,0.38471,-6.34663,-0.06822,0.0334,1847.25,0.024395,0.031,18.0,0.0345,18.0
